,Retailers: Inventories to Sales Ratio,Total Business: Inventories to Sales Ratio,Total Business Inventories,Exchange Rates (Value of Foreign Currency Relative to U.S. Dollar) in Belgium (DISCONTINUED),Employment in Manufacturing in the United Kingdom (DISCONTINUED),"Real Hourly Compensation in Manufacturing, CPI Basis, in Italy (DISCONTINUED)",Chicago Fed Midwest Manufacturing Index (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Steel Sector Output (DISCONTINUED),Chicago Fed Midwest Manufacturing Index for the Resource Sector Output (DISCONTINUED),Current General Business Conditions; Diffusion Index for New York,Future Capital Expenditures; Diffusion Index for New York,Current New Orders; Diffusion Index for New York,Current General Activity; Diffusion Index for Federal Reserve District 3: Philadelphia,Future Capital Expenditures; Diffusion Index for Federal Reserve District 3: Philadelphia,Future New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current New Orders; Diffusion Index for Federal Reserve District 3: Philadelphia,Current Prices Paid; Diffusion Index for Federal Reserve District 3: Philadelphia,"Current Number of Part-Time, Temporary, and Contract Employees; Percent of Respondents Reporting Decreases for Federal Reserve District 3: Philadelphia",Current General Business Activity; Diffusion Index for Texas,Current Prices Paid for Raw Materials; Percentage Reporting Increases for Texas,Future Prices Paid for Raw Materials; Diffusion Index for Texas
2000-07-01,1.6,1.41,1175374.0,,,,111.9,111.5,85.1,,,,4.7,25.2,24.7,,,,,,
2000-08-01,1.62,1.43,1183268.0,,,,111.0,110.0,84.2,,,,17.1,23.0,11.8,,,,,,
2000-09-01,1.59,1.4,1183463.0,,,,111.8,112.3,84.0,,,,5.5,31.7,27.6,,,,,,
2000-10-01,1.6,1.42,1189920.0,,,,112.4,111.4,84.5,,,,1.8,23.7,16.4,,,,,,
2000-11-01,1.62,1.43,1197038.0,,,,112.6,112.4,84.2,,,,7.1,16.4,12.4,,,,,,
2000-12-01,1.62,1.42,1195894.0,,,,109.3,109.4,83.0,,,,-7.8,26.1,4.3,,,,,,
2001-01-01,1.61,1.44,1197945.0,94.7,105.2,99.7,109.2,111.8,82.8,,,,-36.6,5.7,5.6,,,,,,
2001-02-01,1.6,1.42,1191600.0,,,,110.5,110.3,82.8,,,,-29.4,-6.2,15.2,,,,,,
2001-03-01,1.61,1.44,1186068.0,,,,111.0,109.3,82.1,,,,-20.5,4.5,26.2,,,,,,
2001-04-01,1.58,1.45,1184434.0,,,,108.1,108.3,82.0,,,,-10.7,2.3,31.2,,,,,,
2001-05-01,1.59,1.43,1182109.0,,,,108.9,108.1,82.2,,,,-11.8,9.8,36.6,,,,,,
2001-06-01,1.59,1.44,1173176.0,,,,106.6,106.7,81.6,,,,-7.0,2.0,48.9,,,,,,
2001-07-01,1.6,1.43,1165045.0,,,,106.5,106.3,81.3,-13.3,4.2,7.0,-12.6,0.8,39.6,,,,,,
2001-08-01,1.6,1.42,1163600.0,,,,103.3,103.9,81.7,-8.0,3.8,-0.8,-18.1,5.4,43.9,,,,,,
2001-09-01,1.63,1.44,1157242.0,,,,101.4,102.1,82.8,-12.5,10.3,25.0,-8.2,8.6,42.3,,,,,,
2001-10-01,1.48,1.4,1139077.0,,,,97.9,97.5,83.7,-14.7,14.6,-18.2,-23.6,6.8,49.8,,,,,,
2001-11-01,1.51,1.39,1126312.0,,,,95.9,94.2,84.5,-21.5,11.2,-7.0,-17.7,0.3,42.2,,,,,,
2001-12-01,1.53,1.39,1118552.0,,,,95.1,91.3,85.8,-9.8,11.5,-4.3,-11.0,11.2,40.7,,,,,,
2002-01-01,1.54,1.39,1117388.0,100.0,100.0,100.0,93.4,90.4,86.7,1.4,10.3,6.4,10.5,24.3,57.1,,,,,,
2002-02-01,1.54,1.38,1111859.0,,,,92.6,89.7,87.3,13.3,22.0,9.3,11.1,10.2,54.6,,,,,,
2002-03-01,1.54,1.37,1108193.0,,,,92.5,89.9,88.4,13.8,30.3,19.6,12.2,10.6,53.8,,,,,,
2002-04-01,1.52,1.35,1106806.0,,,,92.3,90.1,88.9,20.2,22.0,21.8,12.6,14.0,54.0,,,,,,
2002-05-01,1.56,1.35,1110725.0,,,,91.3,89.9,89.8,12.9,27.3,8.0,10.1,12.0,58.6,,,,,,
2002-06-01,1.55,1.35,1112674.0,,,,92.1,90.4,91.0,8.9,19.1,11.4,20.4,22.0,45.3,,,,,,
2002-07-01,1.54,1.36,1119258.0,,,,91.4,88.6,90.3,-1.9,15.0,2.4,5.9,20.4,51.0,,,,,,
2002-08-01,1.53,1.34,1120777.0,,,,91.5,91.0,90.3,8.2,13.0,9.5,-1.3,5.8,41.8,,,,,,
2002-09-01,1.57,1.36,1128958.0,,,,91.3,90.1,90.4,6.3,26.7,6.7,4.4,16.0,40.5,,,,,,
2002-10-01,1.57,1.36,1130630.0,,,,91.2,90.3,90.7,-3.8,16.7,0.5,-7.6,16.4,45.6,,,,,,
2002-11-01,1.57,1.35,1132381.0,,,,92.3,91.2,90.4,4.0,17.0,6.9,7.4,26.2,42.0,,,,,,
2002-12-01,1.56,1.37,1139523.0,,,,91.8,90.9,90.2,2.4,18.8,14.0,7.2,10.0,46.1,,,,,,
2003-01-01,1.56,1.35,1139589.0,119.7,94.4,101.1,92.8,93.0,89.4,8.1,18.3,7.8,5.5,10.4,39.8,,,,,,
2003-02-01,1.6,1.36,1148176.0,,,,91.9,92.8,88.8,-3.5,15.3,5.8,-1.6,12.4,33.1,,,,,,
2003-03-01,1.58,1.35,1149009.0,,,,92.6,92.0,89.4,6.5,10.0,4.3,-3.9,17.1,47.0,,,,,,
2003-04-01,1.59,1.38,1150317.0,,,,92.1,92.0,88.7,-14.5,9.8,-5.0,-6.6,13.4,48.4,,,,,,
2003-05-01,1.58,1.37,1145246.0,,,,92.1,92.2,87.9,15.7,21.5,15.7,-0.6,9.0,50.6,,,,,,
2003-06-01,1.56,1.35,1142115.0,,,,93.5,93.9,88.9,25.1,15.3,15.2,3.7,14.0,58.1,,,,,,
2003-07-01,1.55,1.33,1139701.0,,,,92.6,91.8,88.2,19.3,21.1,16.5,7.7,12.7,60.2,,,,,,
2003-08-01,1.51,1.32,1132993.0,,,,91.7,91.9,89.0,15.5,16.3,18.1,20.3,15.8,55.6,,,,,,
2003-09-01,1.53,1.31,1136935.0,,,,95.9,93.2,90.0,20.4,20.2,14.6,21.0,13.5,62.9,,,,,,
2003-10-01,1.56,1.32,1143104.0,,,,95.6,95.2,90.3,36.8,25.0,32.1,28.1,15.2,51.2,,,,,,
2003-11-01,1.55,1.31,1145108.0,,,,97.6,97.1,91.2,34.0,30.5,35.0,26.9,18.0,56.1,,,,,,
2003-12-01,1.55,1.31,1147795.0,,,,97.8,98.8,92.4,27.4,42.3,23.3,26.5,22.4,49.9,,,,,,
2004-01-01,1.55,1.31,1148368.0,131.6,90.3,102.5,97.7,96.4,93.7,32.5,26.9,29.2,36.1,23.6,49.4,,,,,,
2004-02-01,1.55,1.31,1158745.0,,,,98.8,97.7,95.3,37.0,32.8,31.3,28.0,22.4,56.1,,,,,,
2004-03-01,1.54,1.28,1168100.0,,,,99.3,97.6,96.2,32.6,34.3,31.0,29.6,20.1,35.9,,,,,,
2004-04-01,1.58,1.3,1176070.0,,,,99.3,97.8,98.0,39.0,37.4,39.7,32.2,26.9,41.1,,,,,,
2004-05-01,1.55,1.29,1183161.0,,,,100.2,99.2,99.7,37.0,31.7,42.0,29.1,22.6,41.9,,,,,,
2004-06-01,1.59,1.31,1195398.0,,,,98.7,98.4,98.7,27.1,30.8,25.3,30.6,20.5,39.1,,,,47.7,64.6,30.9
2004-07-01,1.58,1.31,1207045.0,,,,99.0,99.8,100.7,35.0,29.1,28.3,34.7,26.5,35.6,,,,39.4,65.7,38.8
2004-08-01,1.59,1.31,1217193.0,,,,100.3,98.5,101.8,15.2,21.0,17.2,25.1,23.9,44.2,,,,37.2,67.1,54.8
2004-09-01,1.56,1.3,1217197.0,,,,99.4,96.8,101.5,28.4,31.7,27.4,19.7,20.7,40.8,,,,27.2,63.0,51.7
2004-10-01,1.54,1.29,1225082.0,,,,100.5,98.6,102.3,24.5,31.7,20.5,26.8,25.6,39.0,,,,24.9,72.7,41.9
2004-11-01,1.55,1.3,1238758.0,,,,99.5,98.2,101.0,15.3,29.2,13.7,19.2,25.6,51.8,,,,42.8,58.0,44.8
2004-12-01,1.54,1.28,1241744.0,,,,99.2,97.3,100.8,21.6,26.0,28.6,25.5,27.9,42.3,,,,41.5,47.0,37.5
2005-01-01,1.55,1.29,1252502.0,131.7,86.0,103.5,99.5,96.2,101.9,15.6,32.8,16.0,13.3,21.2,36.2,,,,27.1,44.4,39.4
2005-02-01,1.54,1.29,1261301.0,,,,99.9,94.9,101.7,17.1,21.7,14.7,21.3,22.7,31.4,,,,27.1,53.0,36.9
2005-03-01,1.54,1.3,1269147.0,,,,98.1,94.1,100.3,24.3,32.7,13.9,15.1,26.4,37.1,,,,29.9,60.6,41.3
2005-04-01,1.53,1.28,1274847.0,,,,98.0,93.4,99.4,8.3,30.1,8.8,25.3,31.7,32.9,,,,7.3,50.8,38.8
2005-05-01,1.54,1.29,1276449.0,,,,97.8,92.2,99.8,-4.9,22.8,-1.3,9.3,16.3,19.6,,,,27.5,40.0,26.9
2005-06-01,1.49,1.28,1275931.0,,,,97.1,90.7,99.2,7.8,14.1,7.3,-1.3,20.3,36.8,,,,13.6,36.7,21.3
2005-07-01,1.44,1.26,1270200.0,,,,96.1,90.8,98.6,23.8,24.5,18.3,8.0,13.1,24.3,,,,28.4,36.1,40.6
2005-08-01,1.47,1.26,1274866.0,,,,96.3,91.8,97.5,23.7,24.0,32.3,11.3,19.6,25.9,,,,23.4,44.1,48.5
2005-09-01,1.48,1.25,1282637.0,,,,96.0,93.3,96.1,16.9,25.8,14.9,7.1,13.6,12.8,,,,27.2,60.7,64.4
2005-10-01,1.49,1.25,1291339.0,,,,98.2,93.5,97.0,12.1,24.0,22.9,4.8,16.6,24.2,,,,20.5,60.3,51.3
2005-11-01,1.49,1.26,1300756.0,,,,98.0,94.6,97.6,18.0,32.7,21.3,10.3,22.7,35.9,,,,24.0,69.6,58.9
2005-12-01,1.5,1.26,1314161.0,,,,97.7,93.9,98.5,22.9,32.2,21.1,12.9,17.6,44.5,,,,37.8,62.7,46.7
2006-01-01,1.47,1.25,1323295.0,132.9,84.2,103.5,98.8,96.2,100.0,17.5,31.5,25.2,5.4,16.3,39.0,,,,30.9,56.3,40.4
2006-02-01,1.48,1.26,1327287.0,,,,98.5,97.0,98.8,20.9,41.1,26.6,15.3,23.0,37.0,,,,28.6,48.4,36.5
2006-03-01,1.49,1.26,1340279.0,,,,99.0,97.3,98.4,33.2,37.6,31.4,14.7,22.3,34.9,,,,32.6,41.4,37.2
2006-04-01,1.48,1.27,1348410.0,,,,99.3,96.8,98.9,18.5,37.9,21.2,14.2,18.9,35.8,,,,25.7,52.2,48.8
2006-05-01,1.51,1.27,1363351.0,,,,99.0,97.9,98.0,18.6,32.5,21.9,13.7,18.3,23.6,,,,19.8,57.4,43.6
2006-06-01,1.51,1.28,1375795.0,,,,99.6,98.8,98.0,26.5,20.0,24.2,11.7,15.2,13.0,,,,14.7,55.6,51.9
2006-07-01,1.5,1.29,1381022.0,,,,98.6,98.8,98.4,16.6,22.0,9.4,4.0,17.3,18.0,,,,11.4,60.9,44.2
2006-08-01,1.5,1.28,1391188.0,,,,98.9,98.6,98.1,11.7,26.2,17.9,12.5,7.5,15.8,,,,10.4,54.8,40.1
2006-09-01,1.5,1.31,1396458.0,,,,98.1,98.2,98.3,14.9,36.0,14.8,-0.8,14.4,7.3,,,,13.6,41.3,31.4
2006-10-01,1.5,1.32,1401743.0,,,,97.5,96.9,98.5,18.7,30.3,10.2,2.3,10.5,24.8,,,,4.8,31.7,37.2
2006-11-01,1.5,1.31,1407338.0,,,,97.4,96.2,98.7,22.9,31.1,18.6,4.5,19.0,20.5,,,,3.4,36.2,36.2
2006-12-01,1.49,1.28,1408680.0,,,,98.8,96.0,100.1,20.1,39.3,19.0,-1.8,5.9,24.1,,,,-7.4,27.6,44.4
2007-01-01,1.49,1.31,1412583.0,145.0,81.5,104.4,97.6,97.3,99.4,7.4,31.9,11.3,7.5,20.5,26.3,,,,0.1,38.5,36.0
2007-02-01,1.49,1.3,1419145.0,,,,98.6,98.2,99.9,24.5,31.2,20.5,3.5,20.7,27.4,,,,21.9,33.3,41.3
2007-03-01,1.47,1.28,1420809.0,,,,99.8,99.8,99.9,13.3,32.6,8.9,2.8,27.0,28.6,,,,6.9,34.7,34.3
2007-04-01,1.49,1.28,1428601.0,,,,100.9,100.2,100.5,3.9,27.4,6.7,2.9,15.3,23.3,,,,10.1,41.7,36.3
2007-05-01,1.47,1.28,1438224.0,,,,100.8,100.5,99.9,10.0,34.4,12.0,3.7,12.2,25.4,,,,16.8,44.0,40.4
2007-06-01,1.5,1.28,1445155.0,,,,100.8,100.5,100.5,24.3,18.1,18.3,17.3,17.7,19.2,,,,9.3,34.2,46.9
2007-07-01,1.5,1.29,1447212.0,,,,100.3,100.7,101.7,26.2,29.6,21.9,6.8,19.2,37.4,,,,1.4,34.5,44.3
2007-08-01,1.5,1.28,1452795.0,,,,100.3,99.8,99.7,22.8,26.9,20.9,-0.5,25.7,35.5,,,,1.9,27.0,37.2
2007-09-01,1.49,1.28,1460482.0,,,,100.4,99.4,100.1,14.7,22.3,12.6,7.5,16.9,37.8,,,,-0.8,29.5,36.5
2007-10-01,1.48,1.27,1466245.0,,,,99.4,100.1,99.2,25.7,27.9,22.1,7.8,21.7,36.5,,,,-0.1,39.3,45.8
2007-11-01,1.47,1.26,1476656.0,,,,100.4,101.4,99.4,25.9,19.0,22.2,6.6,6.4,27.7,,,,-12.0,35.4,46.2
2007-12-01,1.49,1.28,1488223.0,,,,100.6,102.1,99.9,8.6,23.8,10.8,-5.4,24.3,24.3,,,,-22.3,36.5,45.1
2008-01-01,1.49,1.27,1500138.0,155.8,79.2,105.6,101.4,102.7,99.7,7.2,23.2,0.9,-18.3,15.5,15.0,,,,-25.3,42.9,43.8
2008-02-01,1.5,1.28,1507310.0,,,,100.5,102.9,98.3,-7.3,16.8,-7.0,-20.2,6.1,-4.9,,,,-24.7,47.8,48.3
2008-03-01,1.49,1.28,1508083.0,,,,99.8,102.4,98.5,-14.7,18.0,-1.2,-14.9,3.5,15.6,,,,-28.2,67.0,55.1
2008-04-01,1.49,1.27,1514549.0,,,,97.9,101.6,97.2,-3.1,11.5,-2.4,-21.3,14.9,16.1,,,,-29.2,71.4,56.1
2008-05-01,1.47,1.26,1517375.0,,,,96.4,99.9,96.4,-3.9,13.0,1.7,-16.1,16.8,32.7,,,,-14.0,69.2,56.7
2008-06-01,1.47,1.25,1526777.0,,,,97.2,98.9,95.4,-8.2,22.1,-3.0,-16.8,3.6,19.9,,,,-25.8,75.0,65.8
2008-07-01,1.48,1.26,1535732.0,,,,94.2,97.4,94.3,-5.2,11.6,3.4,-16.2,8.3,20.7,,,,-22.5,68.3,67.5
2008-08-01,1.49,1.29,1539186.0,,,,92.5,97.2,93.2,-0.9,14.6,-2.9,-17.6,11.4,33.6,,,,-15.5,58.3,49.8
2008-09-01,1.51,1.31,1528711.0,,,,88.9,94.0,90.3,-8.1,16.1,1.2,2.1,13.4,34.5,,,,-35.9,42.7,31.3
2008-10-01,1.57,1.36,1514194.0,,,,86.7,89.5,91.6,-25.9,6.1,-20.6,-37.8,-3.7,-6.0,,,,-53.4,21.6,-4.4
2008-11-01,1.62,1.45,1498070.0,,,,84.2,83.3,89.8,-22.6,-10.8,-20.4,-40.9,-11.3,-2.3,,,,-56.0,10.0,-19.2
2008-12-01,1.62,1.47,1465714.0,,,,80.5,77.2,85.6,-25.4,-10.6,-22.4,-37.6,-18.6,5.3,,,,-58.2,4.6,-17.2
2009-01-01,1.57,1.48,1447913.0,147.4,73.8,108.2,74.4,71.6,85.3,-26.5,-11.4,-24.8,-31.1,-17.6,13.2,,,,-55.0,8.7,-26.3
2009-02-01,1.56,1.45,1427102.0,,,,74.7,68.1,86.3,-34.3,-11.5,-26.4,-39.3,-15.4,19.7,,,,-60.0,8.2,-18.6
2009-03-01,1.57,1.47,1406199.0,,,,72.3,63.1,84.6,-33.7,-19.1,-43.8,-34.7,-16.2,14.1,,,,-54.3,7.8,-12.0
2009-04-01,1.54,1.45,1387718.0,,,,70.9,60.2,84.6,-19.3,-1.1,-10.5,-25.2,-3.5,31.2,,,,-37.5,5.9,0.7
2009-05-01,1.5,1.43,1372383.0,,,,68.1,57.8,85.2,-6.0,-1.1,-8.6,-22.4,-2.8,40.5,,,,-25.2,10.0,3.6
2009-06-01,1.45,1.39,1354509.0,,,,68.0,57.1,85.5,-9.7,11.5,-6.4,0.2,1.1,52.2,,,,-22.1,15.3,18.1
2009-07-01,1.43,1.36,1338517.0,,,,69.4,58.0,84.9,0.0,2.1,4.6,-6.6,1.3,45.9,,,,-20.6,15.4,15.2
2009-08-01,1.37,1.32,1321603.0,,,,71.0,59.3,85.7,12.7,18.1,14.3,8.8,2.0,46.9,,,,-5.6,24.5,34.4
2009-09-01,1.41,1.32,1315316.0,,,,71.5,61.1,85.3,21.0,14.3,19.0,15.1,-1.5,47.9,,,,-2.6,23.2,31.8
2009-10-01,1.41,1.31,1323656.0,,,,72.2,61.4,85.5,33.0,18.2,28.6,12.7,7.5,40.1,,,,-7.8,14.3,30.5
2009-11-01,1.4,1.3,1334051.0,,,,73.1,63.5,86.6,25.8,21.1,18.8,15.4,11.6,40.7,,,,-1.7,19.6,32.5
2009-12-01,1.39,1.28,1331497.0,,,,73.4,64.4,85.3,5.2,30.3,3.8,16.5,12.8,30.5,,,,3.3,22.8,53.4
2010-01-01,1.39,1.27,1333884.0,140.3,72.0,109.2,74.5,65.9,86.3,15.1,33.3,18.1,12.9,14.2,41.6,,,,6.7,31.1,54.6
2010-02-01,1.4,1.28,1342686.0,,,,74.3,66.8,86.2,21.5,27.8,10.5,13.9,24.8,40.2,,,,-3.6,38.5,46.5
2010-03-01,1.37,1.26,1348688.0,,,,75.6,68.4,86.5,19.8,27.2,25.6,14.2,9.5,43.3,,,,6.8,42.7,38.4
2010-04-01,1.36,1.25,1353657.0,,,,76.8,69.6,86.8,27.4,31.6,20.0,16.0,10.1,45.6,,,,24.4,47.3,46.0
2010-05-01,1.38,1.26,1357851.0,,,,78.6,71.6,87.1,18.0,38.2,13.1,22.2,8.4,49.2,,,,12.7,46.8,40.3
2010-06-01,1.4,1.27,1367670.0,,,,78.7,73.0,86.9,19.8,28.4,20.4,14.9,3.4,33.8,,,,0.4,38.1,36.4
2010-07-01,1.41,1.27,1379915.0,,,,80.0,73.3,86.7,5.3,14.3,10.0,7.7,9.0,23.4,,,,-17.1,22.2,23.2
2010-08-01,1.41,1.28,1391841.0,,,,79.5,74.1,87.6,10.0,22.9,1.8,3.6,15.0,32.7,,,,-8.7,26.3,28.1
2010-09-01,1.41,1.28,1406906.0,,,,80.1,74.5,87.8,9.9,25.4,7.1,4.5,9.4,22.0,,,,-13.5,28.3,31.6
2010-10-01,1.4,1.27,1423474.0,,,,80.4,74.8,87.3,15.2,25.0,10.4,0.3,23.1,43.5,,,,2.7,29.8,36.2
2010-11-01,1.38,1.27,1434523.0,,,,80.8,76.3,87.2,-7.4,23.4,-21.4,19.1,21.1,39.6,,,,18.4,33.0,41.9
2010-12-01,1.38,1.27,1450371.0,,,,81.2,77.4,87.5,11.9,22.7,5.2,15.4,30.5,43.1,,,,16.4,40.6,45.7
2011-01-01,1.37,1.25,1462403.0,147.4,70.8,108.5,81.9,78.2,87.2,9.6,34.7,8.3,16.5,27.8,35.9,,,,8.0,62.9,53.6
2011-02-01,1.36,1.26,1472231.0,,,,82.6,78.5,86.8,12.1,27.7,9.2,28.9,13.7,38.7,,,,14.8,63.2,66.0
2011-03-01,1.36,1.24,1489022.0,,,,83.8,80.7,87.5,12.4,22.1,6.2,36.4,30.7,55.4,34.8,17.2,18.4,9.2,63.4,55.8
2011-04-01,1.35,1.25,1502663.0,,,,83.0,81.1,87.5,19.1,29.5,14.0,12.9,19.3,30.9,33.7,32.4,7.5,10.5,68.1,57.5
2011-05-01,1.36,1.27,1520742.0,,,,83.8,82.1,86.9,10.1,30.1,13.7,6.2,24.5,25.3,15.1,28.8,8.5,-0.6,53.8,50.2
2011-06-01,1.35,1.27,1527083.0,,,,84.0,82.3,87.0,-5.3,26.5,-1.2,-0.5,12.0,8.5,12.5,26.9,16.3,-19.6,38.1,45.6
2011-07-01,1.35,1.27,1534390.0,,,,84.0,83.0,87.2,-6.0,22.2,-4.6,7.1,17.0,32.1,-4.6,30.9,23.6,-3.3,40.2,50.4
2011-08-01,1.36,1.27,1541898.0,,,,84.9,83.3,87.0,-3.9,8.7,-3.9,-19.5,8.9,26.9,-9.1,17.9,6.0,-12.4,30.2,29.8
2011-09-01,1.35,1.26,1536572.0,,,,85.6,84.1,87.2,-4.3,9.8,-4.5,-10.7,7.1,19.5,1.3,11.6,2.1,-15.8,28.0,37.0
2011-10-01,1.34,1.26,1550732.0,,,,86.5,84.1,88.0,-5.7,7.9,1.7,6.2,15.7,28.6,-8.7,21.8,16.0,0.9,20.0,36.8
2011-11-01,1.35,1.27,1557904.0,,,,87.0,86.0,87.4,4.9,25.6,1.6,4.0,16.1,36.2,30.1,22.7,3.9,2.8,20.9,28.9
2011-12-01,1.35,1.27,1567171.0,,,,88.5,87.2,88.2,11.7,23.3,10.1,2.4,14.3,38.6,13.0,26.2,16.2,-1.1,25.8,33.6
2012-01-01,1.34,1.25,1574265.0,,,,89.8,88.1,89.2,11.5,25.3,8.7,7.5,23.8,43.5,24.3,7.8,29.5,13.9,31.5,40.3
2012-02-01,1.34,1.25,1586863.0,,,,91.0,89.5,89.7,17.5,31.8,7.1,10.3,15.4,32.2,39.2,27.3,6.0,16.1,32.9,44.5
2012-03-01,1.34,1.26,1593127.0,,,,90.6,88.6,89.2,15.5,32.1,4.4,8.8,11.1,37.1,52.4,17.5,7.9,9.5,36.4,53.9
2012-04-01,1.36,1.26,1601090.0,,,,92.6,89.9,89.8,7.8,31.3,4.1,5.7,21.6,42.4,16.2,25.2,15.2,-5.8,33.7,39.0
2012-05-01,1.38,1.27,1605876.0,,,,92.0,90.0,89.5,14.2,19.3,7.1,-0.8,7.9,35.4,13.1,23.2,7.4,-1.5,32.6,34.4
